etso;nm_source;proprietario;operatore;impianto;company;localita_estesa;localita;provincia;latitudine;longitudine;zona;descrizione;tipo;sottotipo;mgp;mi;msd;pmin;pmax
UP_RWNDORDONA_1;;EUROWIND ORDONA SRL;EDELWEISS ENERGIA SPA;Eurowindordona;EDELWEISS;71040 ORDONA FG;ORDONA;FG;41,3144165;15,6266448;SUD;Impianto eolico costituito da 15 aerogeneratori da 2,5 MW.;EOLICO;EOLICO;SI;SI;NO;0;37,5
UP_SCLSTRNLCL_1;;EUROWIND S.R.L.;EDELWEISS ENERGIA SPA;Ascoli Satriano-Località Lagnano, Pozzo Zingaro;EDELWEISS;71022 ASCOLI SATRIANO FG;ASCOLI SATRIANO;FG;41,1933413;15,5767449;SUD;L`UPR è costituita da 19 motori primi e ad ognuno è associato un solo generatore con potenza 2000 KW;EOLICO;EOLICO;SI;SI;NO;0;38
UP_RTNVLCSNTS_1;;EUROWIND S.R.L.;EDELWEISS ENERGIA SPA;Ortanova loc. Santo Spirito;EDELWEISS;71045 ORTA NOVA FG;ORTA NOVA;FG;41,3279916;15,709254;SUD;L`UPR è costituita da 14 motori primi e ad ognuno è associato un solo generatore con potenza 2000 KW;EOLICO;EOLICO;SI;SI;NO;0;28
UP_ISOLA_1;;EUSEBIO ENERGIA S.P.A.;EPIU'     SPA;ISOLA;EPIU';25040 BIENNO BS;BIENNO;BS;45,9367378;10,2910576;NORD;Impianto ISOLA - IM_S03IMSL;IDRICO;FLUENTE;SI;SI;NO;0,4;12,2
UP_ISOLA_E_M_1;;EUSEBIO ENERGIA S.P.A.;EPIU'     SPA;ISOLA E MANTELERA;EPIU';25040 PRESTINE BS;PRESTINE;BS;45,9305277;10,3111875;NORD;NOTA ;IDRICO;FLUENTE;NO;NO;NO;3,1;21
UP_MANTELERA_1;;EUSEBIO ENERGIA S.P.A.;EPIU'     SPA;MANTELERA;EPIU';25040 PRESTINE BS;PRESTINE;BS;45,9355277;10,3041875;NORD;Mantelera - IM_M03IMSL;IDRICO;FLUENTE;SI;SI;NO;0,2;9,3
UP_MATISSE_1;;FARPOWER SPA;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;MATISSE;GSE;71022 ASCOLI SATRIANO FG;ASCOLI SATRIANO;FG;41,1883413;15,5837449;SUD;IMPIANTO EOLICO DA 39 MW;EOLICO;EOLICO;SI;SI;NO;0;39
UP_OMIRAFIORI_3;;FENICE SPA;FENICE SPA;U.O. MIRAFIORI;FENICE; TORINO TO;TORINO;TO;45,0269197;7,6228398;NORD;UNITA` PRODUZIONE EQUIVALENTE RELATIVA A DUE CICLI COMBINATI MONOALBERO;TERMICO;COMBINATO;SI;SI;NO;0;122
UP_PWHIRLPOOL_1;;FENICE SPA;FENICE SPA;U.P.  WHIRLPOOL;FENICE;21024 BIANDRONNO VA;BIANDRONNO;VA;45,8183381;8,6996857;NORD;UP WHIRLPOOL;TERMICO;TURBOGAS;SI;SI;NO;0,5;12,85
UP_PNTRECOGEN_1;;FENICE SPA;YOUTRADE SPA;U.P. INTERECOGEN;YOUTRADE;56029 SANTA CROCE SULL'ARNO PI;SANTA CROCE SULL'ARNO;PI;43,7109248;10,783619;CNOR;UNITÀ PRODUTTIVA COSTITUITA DA 2 GRUPPI. OGNI GRUPPO È COMPOSTO DA 2 MCI CHE MUOVONO 2 GENERATORI;TERMICO;TRADIZIONALE;SI;SI;NO;5;30,75
UP_MONTORSI_1;;FERROVIE DEL GARGANO SRL;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;MONTORSI;GSE;71031 ALBERONA FG;ALBERONA;FG;41,432188;15,1242439;SUD;PARCO DA N.12 TORRI (P.U.2,3 MVA - P.T. 24 MW) ALLACCIATO ALLA STAZIONE TERNA DI ALBERONA (150 KV);EOLICO;EOLICO;SI;SI;NO;0;24
UP_LBRNMZZNLL_1;;FORTORE WIND SRL;ROMAGNA ENERGIA SOC. CONS. PER AZIONI;ALBERONA MEZZANELLE;ROMAGNA ENERGIA;71031 ALBERONA FG;ALBERONA;FG;41,437188;15,1172439;SUD;NOTA ;EOLICO;EOLICO;SI;SI;NO;0;26
UP_BUGLIA_1;;FORTORE WIND SRL;BKW ENERGIE AG;BUGLIA;BKW;71020 ROCCHETTA SANT'ANTONIO FG;ROCCHETTA SANT'ANTONIO;FG;41,1034937;15,4610329;SUD;NOTA ;EOLICO;EOLICO;SI;SI;NO;0;20
UP_FRANCIOSA1_1;;FORTORE WIND SRL;BKW ENERGIE AG;FRANCIOSA1;BKW;71020 ROCCHETTA SANT'ANTONIO FG;ROCCHETTA SANT'ANTONIO;FG;41,1084937;15,4540329;SUD;NOTA ;EOLICO;EOLICO;SI;SI;NO;0;18,4
UP_FRANCIOSA2_1;;FORTORE WIND SRL;BKW ENERGIE AG;FRANCIOSA2;BKW;71020 ROCCHETTA SANT'ANTONIO FG;ROCCHETTA SANT'ANTONIO;FG;41,1134937;15,4470329;SUD;NOTA ;EOLICO;EOLICO;SI;SI;NO;0;11,5
UP_MONTICELLI_1;;FORTORE WIND SRL;BKW ENERGIE AG;MONTICELLI;BKW;71039 ROSETO VALFORTORE FG;ROSETO VALFORTORE;FG;41,3742954;15,0969144;SUD;NOTA ;EOLICO;EOLICO;SI;SI;NO;0;12,9
UP_SANCHIRICO_1;;FORTORE WIND SRL;BKW ENERGIE AG;SAN CHIRICO;BKW;71039 ROSETO VALFORTORE FG;ROSETO VALFORTORE;FG;41,3792954;15,0899144;SUD;NOTA ;EOLICO;EOLICO;SI;SI;NO;0;22
UP_SPINA_2;;FORTORE WIND SRL;BKW ENERGIE AG;SPINA;BKW;71039 ROSETO VALFORTORE FG;ROSETO VALFORTORE;FG;41,3842954;15,0829144;SUD;NOTA1 ;EOLICO;EOLICO;SI;SI;NO;0;18
UP_GUARDIA_2;;FRI EL SAN CANIO;AXPO ITALIA SPA;Guardia;AXPO;85010 GUARDIA PERTICARA PZ;GUARDIA PERTICARA;PZ;40,3609969;16,0989791;SUD;UP costituita da 8 aerogeneratori della potenza di 3 MW ciascuno.;EOLICO;EOLICO;SI;SI;NO;0;24
UP_ACERRA_1;PIP;FRI-EL ACERRA SRL;AXPO ITALIA SPA;ACERRA;AXPO;80011 ACERRA NA;ACERRA;NA;40,9441091;14,371438;CSUD;CONTATORE BIDIREZIONALE;TERMICO;RINNOVABILE PROGRAMMABILE;SI;SI;NO;3,4;72
UP_NULVITERGU_1;;FRI-EL ANGLONA SRL;AXPO ITALIA SPA;NULVI TERGU;AXPO;07032 NULVI SS;NULVI;SS;40,7892498;8,7429717;SARD;PARCO EOLICO NULVI TERGU LOCALITÀ MONTE SOS PARES SASSARI ;EOLICO;EOLICO;SI;SI;NO;0;29,75
UP_FRANZI_1;;FRI-EL ANZI;AXPO ITALIA SPA;FRANZI;AXPO;85010 ANZI PZ;ANZI;PZ;40,5166516;15,9213008;SUD;Impianto eolio composto da 8 aerogeneratori da 2 MW cisacuno.;EOLICO;EOLICO;SI;SI;NO;0;16
UP_NDRTTA22MW_1;;FRI-EL CAMPANIA SRL;EDISON TRADING SPA;ANDRETTA 22MW;EDISON;83040 ANDRETTA AV;ANDRETTA;AV;40,9330358;15,3161246;CSUD;CONTATORE ISKRA BIDIREZIONALE CON SEI CANALI ;EOLICO;EOLICO;SI;SI;NO;0;22
UP_BSCCIA48MW_1;;FRI-EL CAMPANIA SRL;EDISON TRADING SPA;BISACCIA 48MW;EDISON;83044 BISACCIA AV;BISACCIA;AV;41,0353354;15,3478878;CSUD;MISURAZIONE ENERGIA MEDIANTE CONTATORE BIDIREZIONALE A SEI CANALI ;EOLICO;EOLICO;SI;SI;NO;0;48
UP_GNNSFNDIGA_1;;FRI-EL CAMPIDANO SRL;AXPO ITALIA SPA;GONNOSFANADIGA;AXPO;09035 GONNOSFANADIGA VS;GONNOSFANADIGA;VS;39,4960333;8,6629699;SARD;CONTATORE BIDIREZIONALE ;EOLICO;EOLICO;SI;SI;NO;0;22
UP_GUSPINI_1;;FRI-EL CAMPIDANO SRL;AXPO ITALIA SPA;GUSPINI;AXPO;09036 GUSPINI VS;GUSPINI;VS;39,5393102;8,6273344;SARD;CONTATORE BIDIREZIONALE ;EOLICO;EOLICO;SI;SI;NO;0;24
UP_SNGVNPBLLN_1;;FRI-EL CAMPIDANO SRL;AXPO ITALIA SPA;SAN GAVINO - PABILLONIS;AXPO;09030 PABILLONIS VS;PABILLONIS;VS;39,5957653;8,7186359;SARD;CONTATORE BIDIREZIONALE ;EOLICO;EOLICO;SI;SI;NO;0;24
UP_GRTTLE18MW_1;;FRI-EL GROTTOLE SRL;AXPO ITALIA SPA;GROTTOLE 18MW;AXPO;75010 GROTTOLE MT;GROTTOLE;MT;40,5977146;16,3875583;SUD;CONTATORE BIDIREZIONALE ;EOLICO;EOLICO;SI;SI;NO;0;18
UP_GRTTLE36MW_1;;FRI-EL GROTTOLE SRL;AXPO ITALIA SPA;GROTTOLE 36MW;AXPO;75010 GROTTOLE MT;GROTTOLE;MT;40,6027146;16,3805583;SUD;CONTATORE BIDIREZIONALE ;EOLICO;EOLICO;SI;SI;NO;0;36
UP_SANBASILIO_1;;FRI-EL GUARDIONARA SRL;AXPO ITALIA SPA;SAN BASILIO;AXPO;09040 SAN BASILIO CA;SAN BASILIO;CA;39,5384512;9,197565;SARD;PARCO EOLICO SAN BASILIO;EOLICO;EOLICO;SI;SI;NO;0;24,65
UP_MNTMURRO12_1;;FRI-EL MONTEMURRO SRL;AXPO ITALIA SPA;MONTEMURRO 1/2;AXPO;85053 MONTEMURRO PZ;MONTEMURRO;PZ;40,2971658;15,9916241;SUD;IMPIANTO DI PRODUZIONE NON PROGRAMMABILE DA FONTE RINNOVABILE ;EOLICO;EOLICO;SI;SI;NO;0;29,08
UP_NURRI_1;;FRI-EL NURRI SRL;EDISON TRADING SPA;NURRI;EDISON;08035 NURRI CA;NURRI;CA;39,7091551;9,2305519;SARD;PARCO EOLICO NURRI MONTE GUZZINILOCALITÀ MONTE GUZZINI NUORO ;EOLICO;EOLICO;SI;SI;NO;0;22
UP_RICIGLIANO_1;;FRI-EL RICIGLIANO SRL;AXPO ITALIA SPA;RICIGLIANO;AXPO;84020 RICIGLIANO SA;RICIGLIANO;SA;40,6675197;15,479528;CSUD;CONTATORE ISKRA BIDIREZIONALE ;EOLICO;EOLICO;SI;SI;NO;0;36
UP_LIVOLA16MW_1;;FRI-EL S.AGATA S.R.L.;AXPO ITALIA SPA;OLIVOLA 16MW;AXPO;15030 OLIVOLA AL;OLIVOLA;AL;45,0363652;8,3678329;SUD;CONTATORE ISKRA BIDIREZIONALE CON SEI CANALI ;EOLICO;EOLICO;SI;SI;NO;0;16
UP_PALINO20MW_1;;FRI-EL S.AGATA S.R.L.;AXPO ITALIA SPA;PALINO 20MW;AXPO;71028 SANT'AGATA DI PUGLIA FG;SANT'AGATA DI PUGLIA;FG;41,1507948;15,3821795;SUD;CONTATORE ISKRA CON SEI CANALI ;EOLICO;EOLICO;SI;SI;NO;0;20
UP_PZZDLTSR16_1;;FRI-EL S.AGATA S.R.L.;AXPO ITALIA SPA;PEZZA DEL TESORO 16MW;AXPO;71028 SANT'AGATA DI PUGLIA FG;SANT'AGATA DI PUGLIA;FG;41,1557948;15,3751795;SUD;CONTATORE ISKRA BIDIREZIONALE CON SEI CANALI ;EOLICO;EOLICO;SI;SI;NO;0;16
UP_PNDLLCPR20_1;;FRI-EL S.AGATA S.R.L.;AXPO ITALIA SPA;PIANO DELLA CAPRIA 20MW;AXPO;71028 SANT'AGATA DI PUGLIA FG;SANT'AGATA DI PUGLIA;FG;41,1607948;15,3681795;SUD;CONTATORE ISKRA BIDIREZIONALE CON SEI CANALI ;EOLICO;EOLICO;SI;SI;NO;0;20
UP_FEATV2_2;;FRULLO ENERGIA AMBIENTE SRL;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;FEATV2;GSE;40057 GRANAROLO DELL'EMILIA BO;GRANAROLO DELL'EMILIA;BO;44,5529167;11,4449341;NORD;TERMOVALORIZZATORE RIFIUTI ;TERMICO;MISTO;SI;SI;NO;4;24,6
UP_MPNTLCSCMP_1;;FW POWER S.R.L. (EX-MF POWER S.R.L.);ENEL PRODUZIONE SPA;IMPIANTO EOLICO SCAMPITELLA;ENEL;83050 SCAMPITELLA AV;SCAMPITELLA;AV;41,0911341;15,2998521;CSUD;NOTA ;EOLICO;EOLICO;SI;SI;NO;1,024;32
UP_VLLSCCRDA1_1;;FW POWER S.R.L. (EX-MF POWER S.R.L.);ENEL PRODUZIONE SPA;VALLESACCARDA 1;ENEL;83050 VALLESACCARDA AV;VALLESACCARDA;AV;41,0650449;15,2549367;CSUD;IMPIANTO EOLICO ;EOLICO;EOLICO;SI;SI;NO;0;22,5
UP_SNGVNNNGLD_2;;GALDO ENERGIA SRL;EDISON TRADING SPA;SAN GIOVANNI IN GALDO;EDISON;86010 SAN GIOVANNI IN GALDO CB;SAN GIOVANNI IN GALDO;CB;41,5915582;14,7522893;SUD;UNITÀ DI PRODUZIONE, COSTITUITA DA NUMERO 9 AEROGENERATORI DI POTENZA PARI A 1,5 MW CIASCUNO.;EOLICO;EOLICO;SI;SI;NO;0;13,5
UP_GARGANO1_1;;GARGANO ENERGIA S.R.L.;EDISON TRADING SPA;GARGANO 1;EDISON;71010 RIGNANO GARGANICO FG;RIGNANO GARGANICO;FG;41,6766631;15,5876232;SUD;UP COMPOSTA DA 19 AEROGENERATORI DA 2MW.;EOLICO;EOLICO;SI;SI;NO;0;38
UP_ACEA_CAST_1;ACEA;GDF SUEZ PRODUZIONE;ACEA ENERGIA SPA;CASTEL MADAMA;ACEA;00024 CASTEL MADAMA RM;CASTEL MADAMA;RM;41,9755154;12,8696673;CSUD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO ACEAELECTRABEL PRODUZIONE CASTELMAD ;IDRICO;FLUENTE;SI;SI;NO;0,15;8
UP_MANDELA_1;ACEA;GDF SUEZ PRODUZIONE;ACEA ENERGIA SPA;MANDELA;ACEA;00020 MANDELA RM;MANDELA;RM;42,0301029;12,9231015;CSUD;UNITA` DI PRODUZIONE N 1 ;IDRICO;FLUENTE;SI;SI;NO;0,2;5
UP_MNTDLLDFSA_1;;GDF SUEZ PRODUZIONE;GDF SUEZ RINNOVABILI S.P.A.;MONTE DELLA DIFESA;GDF;84029 SICIGNANO DEGLI ALBURNI SA;SICIGNANO DEGLI ALBURNI;SA;40,5543997;15,3103642;CSUD;LA CENTRALE È COSTUITA DA DUE IMPIANTI IAFR (2282 E 2283) PER UN TOTALE DI 34 MACCHINE VESTAS V52. ;EOLICO;EOLICO;SI;SI;NO;0;28,9
UP_ACEA_ORTE_1;;GDF SUEZ PRODUZIONE;ACEA ENERGIA SPA;ORTE;ACEA;01028 ORTE VT;ORTE;VT;42,4574411;12,3869837;CNOR;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO DI ACEAELECTRABEL PRODUZIONE (G.MARCONI) ORTE;IDRICO;FLUENTE;SI;SI;NO;4;18
UP_PNDLCRNALE_1;;GDF SUEZ PRODUZIONE;GDF SUEZ RINNOVABILI S.P.A.;Piano del Cornale;GDF;84024 CONTURSI TERME SA;CONTURSI TERME;SA;40,650042;15,2397018;CSUD;PARCO CONNESSO ALLA RTN TRAMITE LA CABINA PRIMARIA CONTURSI DI ENEL DISTRIBUZIONE;EOLICO;EOLICO;SI;SI;NO;0;15,3
UP_SALISANO_2;;GDF SUEZ PRODUZIONE;ACEA ENERGIA SPA;SALISANO;ACEA;02040 SALISANO RI;SALISANO;RI;42,2612441;12,7484839;CSUD;UNITA` DI PRODUZIONE N 1 DELL`IMPIANTO DI ACEAELECTRABEL PRODUZIONE SALISANO ;IDRICO;FLUENTE;SI;SI;NO;0,5;23
UP_TRPNSALEMI_1;;GDF SUEZ RINNOVABILI S.P.A.;GDF SUEZ RINNOVABILI S.P.A.;TRAPANI-SALEMI;GDF;91100 TRAPANI TP;TRAPANI;TP;38,0226177;12,530202;SICI;IL PARCO E` COSTITUITO DA 31 VESTAS V90 DA 2MW + 5 VESTAS V52 DA 0,85MW ;EOLICO;EOLICO;SI;SI;NO;0;66,25
UP_BDDSLDSRDI_1;PIP;GEOPOWER SARDEGNA;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;Buddusò e Alà dei Sardi;GSE;07020 BUDDUSÒ OT;BUDDUSÒ;OT;40,5777451;9,2541905;SARD;Impianto Eolico composto da un gruppo da 68 MW e da un altro da 70 MW.;EOLICO;EOLICO;SI;SI;NO;0;138
UP_RNRPNOLICO_1;;GONGOLO S.R.L.;ELECTRADE SPA;Ariano Irpino eolico;ELECTRADE;83031 ARIANO IRPINO AV;ARIANO IRPINO;AV;41,1548934;15,0922763;CSUD;Impianto eolico on shore;EOLICO;EOLICO;SI;SI;NO;0;10
UP_CSTLLANETA_1;;GREEN CASTELLANETA S.P.A.;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;CASTELLANETA;GSE;74011 CASTELLANETA TA;CASTELLANETA;TA;40,6330418;16,9327385;BRNN;Impianto eolico da 28 aerogeneratori da 2 MW;EOLICO;EOLICO;SI;SI;NO;0;56
UP_VALLATA_1;;GREEN ENERGY SRL;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;Vallata;GSE;83059 Vallata AV;Vallata;AV;41,0368976;15,2511694;CSUD;Impianto eolico da 48 MW nel comune di Vallata (AV);EOLICO;EOLICO;SI;SI;NO;0;48
UP_CNTRLLCVCR_1;;GREEN VICARI SRL;ERG SPA;CENTRALE EOLICA VICARI UNO;ERG;90020 VICARI PA;VICARI;PA;37,8261716;13,5705866;SICI;.. ;EOLICO;EOLICO;SI;SI;NO;0;37,5
UP_CNTRLGRGHN_1;;GREENTECH MONTE GRIGHINE SRL;EDISON TRADING SPA;CENTRALE GRIGHINE;EDISON;09080 MOGORELLA OR;MOGORELLA;OR;39,8632884;8,8572637;SARD;PARCO EOLICO;EOLICO;EOLICO;SI;SI;NO;0;98,9
UP_TROIA3E4_1;;HELVETICWIND EOLO S.R.L.;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;TROIA 3 E 4;GSE;71029 TROIA FG;TROIA;FG;41,3697802;15,2941141;SUD;PARCO EOLICO TROIA  3 E 4;EOLICO;EOLICO;SI;SI;NO;0;21
UP_CLFRRRCSSN_1;;HERA SPA;HERA TRADING SRL;C.LE FERRARA CASSANA;HERA TRADING; FERRARA FE;FERRARA;FE;44,821234;11,5504265;NORD;TERMOVALORIZZATORE;TERMICO;RINNOVABILE PROGRAMMABILE;SI;SI;NO;2;13
UP_CLHRCSLGNO_1;;HERA SPA;HERA TRADING SRL;C.LE HERA CASALEGNO;HERA TRADING;40026 IMOLA BO;IMOLA;BO;44,3599996;11,7124294;NORD;CENTRALE IMOLA CASALEGNO;TERMICO;COMBINATO;SI;SI;NO;20;86
UP_CLHRFRLIBG_1;;HERA SPA;HERA TRADING SRL;C.LE HERA FORLÌ BAGNOLO;HERA TRADING; FORLÌ FC;FORLÌ;FC;44,2161368;12,0093948;NORD;TERMOVALORIZZATORE;TERMICO;RINNOVABILE PROGRAMMABILE;SI;SI;NO;1,2;11,3
UP_CLHRMDNCVZ_1;;HERA SPA;HERA TRADING SRL;C.LE HERA MODENA CAVAZZA;HERA TRADING; MODENA MO;MODENA;MO;44,6527741;10,8264211;NORD;TURBINA A VAPORE;TERMICO;RINNOVABILE PROGRAMMABILE;SI;SI;NO;2;20,75
UP_CGNRZNMNTR_2;;HERA SPA;HERA TRADING SRL;COGENERAZIONE MONTERICCO;HERA TRADING;35043 MONTERICCO PD;MONTERICCO;PD;45,2486352;11,7443185;NORD;CENTRALE DI PRODUZIONE COMBINATA DI ENERGIA ELETTRICA E CALORE;TERMICO;TURBOGAS;NO;NO;NO;0;9,76
UP_CWFITALIA_1;;HSL SRL;OTTANA ENERGIA SPA;C.W.F.ITALIA;OTTANA ENERGIA;08020 OTTANA NU;OTTANA;NU;40,2380425;9,032385;SARD;CENTRALE  TERMOELETTRICA;TERMICO;TRADIZIONALE;SI;SI;NO;1;13
UP_ALA_1;;HYDRO DOLOMITI ENEL SRL;ENEL PRODUZIONE SPA;ALA;ENEL;38061 ALA TN;ALA;TN;45,7625639;11,0051732;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO ALA ;IDRICO;FLUENTE;SI;SI;NO;6;38
UP_BUSSOL._M_1;;HYDRO DOLOMITI ENEL SRL;ENEL PRODUZIONE SPA;BUSSOLENGO;ENEL;37012 BUSSOLENGO VR;BUSSOLENGO;VR;45,4732537;10,8507277;NORD;Unità di Produzione n 1 dell`Impianto BUSSOL. MA ;IDRICO;FLUENTE;SI;SI;NO;1;47,7
UP_CARZANO_1;;HYDRO DOLOMITI ENEL SRL;ENEL PRODUZIONE SPA;CARZANO;ENEL;38050 CARZANO TN;CARZANO;TN;46,0701341;11,4935921;NORD;UNITÀ DI PRODUZIONE GR1 E GR2 ;IDRICO;FLUENTE;SI;SI;NO;2;11
UP_CHIEVO_1;;HYDRO DOLOMITI ENEL SRL;ENEL PRODUZIONE SPA;CHIEVO;ENEL; VERONA VR;VERONA;VR;45,4483842;10,9776215;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO CHIEVO;IDRICO;FLUENTE;SI;SI;NO;1;29
UP_CIMEGO_2;;HYDRO DOLOMITI ENEL SRL;ENEL PRODUZIONE SPA;CIMEGO;ENEL;38082 CIMEGO TN;CIMEGO;TN;45,9117544;10,6134314;NORD;UNITA` DI PRODUZIONE N  2 DELL`IMPIANTO DI CIMEGO ;IDRICO;FLUENTE;SI;SI;NO;2;9,9
UP_COGOLO_2;;HYDRO DOLOMITI ENEL SRL;ENEL PRODUZIONE SPA;COGOLO;ENEL;38024 COGOLO TN;COGOLO;TN;46,3477949;10,6965438;NORD;UP 2 CON ASSOCIATO L`IMPIANTO DI COGOLO ;IDRICO;FLUENTE;SI;SI;NO;0;98
UP_GRIGNO_1;;HYDRO DOLOMITI ENEL SRL;ENEL PRODUZIONE SPA;GRIGNO;ENEL;38055 GRIGNO TN;GRIGNO;TN;46,0169887;11,6312371;NORD;UNITÀ DI PRODUZIONE IMPIANTO DI GRIGNO ;IDRICO;FLUENTE;SI;SI;NO;0,5;14
UP_MALGA_MAR_1;;HYDRO DOLOMITI ENEL SRL;ENEL PRODUZIONE SPA;MALGA MARE;ENEL;38024 PEIO TN;PEIO;TN;46,3627801;10,673533;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO MALGA MARE;IDRICO;SERBATOIO;SI;SI;NO;0;12
UP_NEMBIA_1;;HYDRO DOLOMITI ENEL SRL;ENEL PRODUZIONE SPA;NEMBIA;ENEL;38078 SAN LORENZO IN BANALE TN;SAN LORENZO IN BANALE;TN;46,1195973;10,9106329;NORD;UNITÀ DI PRODUZIONE GR1;IDRICO;FLUENTE;SI;SI;NO;2;13,5
UP_PREDAZZO_1;;HYDRO DOLOMITI ENEL SRL;ENEL PRODUZIONE SPA;PREDAZZO;ENEL;38037 PREDAZZO TN;PREDAZZO;TN;46,312589;11,602437;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO PREDAZZO;IDRICO;SERBATOIO;SI;SI;NO;0,5;15,2
UP_STORO_1;;HYDRO DOLOMITI ENEL SRL;ENEL PRODUZIONE SPA;STORO;ENEL;38089 STORO TN;STORO;TN;45,8482451;10,5790256;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO STORO;IDRICO;BACINO;SI;SI;NO;5;19,1
UP_TORBOLE_1;PIP;HYDRO DOLOMITI ENEL SRL;ENEL PRODUZIONE SPA;TORBOLE;ENEL;38069 NAGO-TORBOLE TN;NAGO-TORBOLE;TN;45,8778243;10,8908516;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO TORBOLE;IDRICO;BACINO;SI;SI;NO;15;110
UP_HYDRLCTRQC_1;;HYDRO ELECTRIQUE CLAVALITE' SPA;C.V.A. TRADING SRL;HYDRO ELECTRIQUE CLAVALITE;C.V.A.;11020 FÉNIS AO;FÉNIS;AO;45,7353776;7,487584;NORD;CENTRALE IDROELETTRICA AD ACQUA FLUENTE ;IDRICO;FLUENTE;SI;SI;NO;0;19,2
UP_CNTRLDRLTT_51;;HYDROCHEM ITALIA SRL;EDELWEISS ENERGIA SPA;Centrale idroelettrica Megolo e Ceppomorelli;EDELWEISS;28875 CEPPO MORELLI VB;CEPPO MORELLI;VB;45,9710247;8,0711995;NORD;CENTRALE IDROELETTRICA DI CEPPO MORELLI (GENERATORI 3 E 4) DI MEGOLO (GENERATORI 1 E 2) ;IDRICO;FLUENTE;SI;SI;NO;2,5;16,2
UP_MARLENG.M_1;;HYDROS SRL;EDISON TRADING SPA;MARLENGO;EDISON;39020 MARLENGO BZ;MARLENGO;BZ;46,652234;11,1378031;NORD;IDRO MARLENGO EDISON ;IDRICO;FLUENTE;SI;SI;NO;0;38,2
UP_P.GARD.ME_1;;HYDROS SRL;EDISON TRADING SPA;PONTE GARDENA;EDISON;39040 PONTE GARDENA BZ;PONTE GARDENA;BZ;46,5977848;11,5312649;NORD;IDRO PONTE GARDENA EDISON ;IDRICO;FLUENTE;SI;SI;NO;0,5;48
UP_PRATI_ME_1;;HYDROS SRL;EDISON TRADING SPA;PRATI DI VIZZE;EDISON;39040 PRATI BZ;PRATI;BZ;46,9126889;11,3141689;NORD;PRATI DI VIZZE HYDROS DUE GRUPPI NUOVI PARALLELO I GR 11/03/09 PARALLELO II E ULTIMO GR 9/04/09 ;IDRICO;FLUENTE;SI;SI;NO;0;25
UP_PREMESA_M_1;;HYDROS SRL;EDISON TRADING SPA;PREMESA;EDISON;39046 ORTISEI BZ;ORTISEI;BZ;46,58629;11,6318657;NORD;IDRO PREMESA EDISON ;IDRICO;FLUENTE;SI;SI;NO;0,5;8,5
UP_MPNTDGNRZN_1;;I.B.P.;ELECTRADE SPA;Impianto di generazione elettrica da lignina;ELECTRADE;13044 CRESCENTINO VC;CRESCENTINO;VC;45,1919142;8,1028002;NORD;Impianto di generazione elettrica mediante turbina a vapore;TERMICO;TRADIZIONALE;SI;SI;NO;0;14
UP_PARAVISO_1;;IDROELETTRICA LOMBARDA SRL;BKW ENERGIE AG;PARAVISO;BKW;25055 PISOGNE BS;PISOGNE;BS;45,8271533;10,1046044;NORD;IMPIANTO ACQUA FLUENTE CON DUE GENERATORI ALSTOM DA 20.000 KVA CIASCUNO. ;IDRICO;FLUENTE;SI;SI;NO;0;35
UP_PPLMBNTLNT_1;;IREN AMBIENTE SPA;IREN MERCATO SPA;PAI - Polo Ambientale Integrato ;IREN; PARMA PR;PARMA;PR;44,801485;10,3279036;NORD;IMPIANTO DI TERMOVALORIZZAZIONE RIFIUTI;TERMICO;TRADIZIONALE;SI;SI;NO;4,9;15,6
UP_BARDONETT_1;;IREN ENERGIA SPA;IREN MERCATO SPA;BARDONETTO;IREN;10080 BARDONETTO TO;BARDONETTO;TO;45,4078695;7,4896508;NORD;UNITÀ DI PRODUZIONE BARDONETTO ;IDRICO;FLUENTE;SI;SI;NO;0;18
UP_CNTRLDCGNR_46;;IREN ENERGIA SPA;IREN MERCATO SPA;CENTRALE DI COGENERAZIONE;IREN;10024 MONCALIERI TO;MONCALIERI;TO;44,9983525;7,6802878;NORD;TURBINA A GAS, CALDAIA A RECUPERO, TURBINA A VAPORE, ALTERNATORE;TERMICO;COMBINATO;SI;SI;NO;2;27
UP_CNTRLDRLTT_49;;IREN ENERGIA SPA;IREN MERCATO SPA;CENTRALE IDROELETTRICA DI CANATE;IREN;16022 CANATE GE;CANATE;GE;44,4764278;9,0546902;NORD;IDROELETTRICA CON TURBINA PELTON;IDRICO;BACINO;SI;SI;NO;1,49;8,49
