etso;nm_source;proprietario;operatore;impianto;company;localita_estesa;localita;provincia;latitudine;longitudine;zona;descrizione;tipo;sottotipo;mgp;mi;msd;pmin;pmax
UP_CHIVASSO_2;PIP;EDIPOWER SPA;A2A TRADING SRL;CHIVASSO;A2A;10034 CHIVASSO TO;CHIVASSO;TO;45,1850384;7,895952;NORD;UNITA` DI PRODUZIONE: CHIVASSO GR. 2;TERMICO;COMBINATO;SI;SI;SI;245;370
UP_GRAVEDONA_1;;EDIPOWER SPA;A2A TRADING SRL;GRAVEDONA;A2A;22015 GRAVEDONA ED UNITI CO;GRAVEDONA ED UNITI;CO;46,1485418;9,3085677;NORD;Unità di Produzione n 1 dell`Impianto GRAVEDONA C.LE;IDRICO;BACINO;SI;SI;SI;0;14,305
UP_PIACENZA_4;PIP;EDIPOWER SPA;A2A TRADING SRL;PIACENZA;A2A; PIACENZA PC;PIACENZA;PC;45,0626206;9,6789845;NORD;UNITÀ DI PRODUZIONE N 2 DELL`IMPIANTO PIACENZA;TERMICO;COMBINATO;SI;SI;SI;210;806
UP_LIRO_1;PIP;EDIPOWER SPA;A2A TRADING SRL;PRESTONE;A2A;23021 PRESTONE SO;PRESTONE;SO;46,3901158;9,3528066;NORD;ASTA LIRO;IDRICO;ASTA;SI;SI;SI;0;117,6
UP_S.F._DEL_1;PIP;EDIPOWER SPA;EDIPOWER SPA;SAN FILIPPO DEL MELA ;EDISON;98044 SAN FILIPPO DEL MELA ME;SAN FILIPPO DEL MELA;ME;38,1691648;15,2742899;SICI;Unità di Produzione n 1 dell`Impianto S.F. DEL MELA C.LE;TERMICO;TRADIZIONALE;SI;SI;SI;58;145
UP_S.F._DEL_2;PIP;EDIPOWER SPA;EDIPOWER SPA;SAN FILIPPO DEL MELA ;EDISON;98044 SAN FILIPPO DEL MELA ME;SAN FILIPPO DEL MELA;ME;38,1641648;15,2812899;SICI;Unità di Produzione n 2 dell`Impianto S.F. DEL MELA C.LE;TERMICO;TRADIZIONALE;SI;SI;SI;58;145
UP_S.F._DEL_5;PIP;EDIPOWER SPA;EDIPOWER SPA;SAN FILIPPO DEL MELA ;EDISON;98044 SAN FILIPPO DEL MELA ME;SAN FILIPPO DEL MELA;ME;38,1591648;15,2882899;SICI;Unità di Produzione n 5 dell`Impianto S.F. DEL MELA C.LE;TERMICO;TRADIZIONALE;SI;SI;SI;135;288
UP_S.F._DEL_6;PIP;EDIPOWER SPA;EDIPOWER SPA;SAN FILIPPO DEL MELA ;EDISON;98044 SAN FILIPPO DEL MELA ME;SAN FILIPPO DEL MELA;ME;38,1541648;15,2962899;SICI;Unità di Produzione n 6 dell`Impianto S.F. DEL MELA C.LE;TERMICO;TRADIZIONALE;SI;SI;SI;135;288
UP_SERMIDE_3;;EDIPOWER SPA;A2A TRADING SRL;SERMIDE;A2A;46028 SERMIDE MN;SERMIDE;MN;45,0139927;11,2851526;NORD;UNITÀ DI PRODUZIONE: SERMIDE GR.3;TERMICO;COMBINATO;SI;SI;SI;180;367
UP_SERMIDE_4;PIP;EDIPOWER SPA;A2A TRADING SRL;SERMIDE;A2A;46028 SERMIDE MN;SERMIDE;MN;45,0189927;11,2781526;NORD;SERMIDE GRUPPO 4;TERMICO;COMBINATO;SI;SI;SI;180;735
UP_SOMPLAGO_2;;EDIPOWER SPA;A2A TRADING SRL;SOMPLAGO;A2A;33020 SOMPLAGO UD;SOMPLAGO;UD;46,3541942;13,0601185;NORD;SOMPLAGO;IDRICO;BACINO;SI;SI;SI;15;162,25
